prediction,decision,ground_truth,img_name
1.0,True,1.0,0009
1.0,True,1.0,0014
0.9999997615814209,True,1.0,0021
1.0,True,1.0,0023
1.0,True,1.0,0024
1.0,True,1.0,0025
1.0,True,1.0,0032
1.0,True,1.0,0034
1.0,True,1.0,0035
1.0,True,1.0,0036
1.0,True,1.0,0049
0.9995824694633484,True,1.0,0057
1.0,True,1.0,0062
1.0,True,1.0,0065
1.0,True,1.0,0082
1.0,True,1.0,0085
1.0,True,1.0,0098
1.0,True,1.0,0102
1.0,True,1.0,0105
0.9999998807907104,True,1.0,0128
1.0,True,1.0,0145
1.0,True,1.0,0156
1.0,True,1.0,0184
0.9999971389770508,True,1.0,0185
0.9999998807907104,True,1.0,0187
0.999998927116394,True,1.0,0197
1.0,True,1.0,0210
1.0,True,1.0,0230
1.0,True,1.0,0234
1.0,True,1.0,0238
1.0,True,1.0,0242
1.0,True,1.0,0243
1.0,True,1.0,0250
1.0,True,1.0,0256
1.0,True,1.0,0269
0.9999998807907104,True,1.0,0271
0.9999946355819702,True,1.0,0292
1.0,True,1.0,0303
1.0,True,1.0,0329
1.0,True,1.0,0342
1.0,True,1.0,0344
0.9999972581863403,True,1.0,0345
1.0,True,1.0,0349
0.999776303768158,True,1.0,0352
1.0,True,1.0,0353
0.9982472658157349,True,1.0,0358
1.0,True,1.0,0364
1.0,True,1.0,0372
0.9999908208847046,True,1.0,0374
1.0,True,1.0,0377
1.0,True,1.0,0383
1.0,True,1.0,0392
1.0,True,1.0,0400
0.9999990463256836,True,1.0,0406
1.0,True,1.0,0408
0.999990701675415,True,1.0,0422
1.0,True,1.0,0431
0.9999998807907104,True,1.0,0436
0.999984860420227,True,1.0,0437
1.0,True,1.0,0442
0.9999791383743286,True,1.0,0443
0.9999847412109375,True,1.0,0453
1.0,True,1.0,0456
1.0,True,1.0,0466
1.0,True,1.0,0477
0.9999997615814209,True,1.0,0479
0.9999995231628418,True,1.0,0480
1.0,True,1.0,0511
1.0,True,1.0,0519
1.0,True,1.0,0529
0.9999998807907104,True,1.0,0536
0.9999997615814209,True,1.0,0546
0.9999998807907104,True,1.0,0554
1.0,True,1.0,0557
0.9999998807907104,True,1.0,0560
1.0,True,1.0,0564
1.0,True,1.0,0569
0.994240403175354,True,1.0,0570
1.0,True,1.0,0591
1.0,True,1.0,0594
0.9999984502792358,True,1.0,0615
1.0,True,1.0,0620
1.0,True,1.0,0622
0.9999998807907104,True,1.0,0625
1.0,True,1.0,0627
0.9999998807907104,True,1.0,0634
1.0,True,1.0,0643
0.9998170733451843,True,1.0,0645
1.0,True,1.0,0648
1.0,True,1.0,0652
1.0,True,1.0,0682
1.0,True,1.0,0689
1.0,True,1.0,0696
0.9999957084655762,True,1.0,0699
1.0,True,1.0,0706
0.9999876022338867,True,1.0,0719
1.0,True,1.0,0727
1.0,True,1.0,0743
1.0,True,1.0,0755
1.0,True,1.0,0758
1.0,True,1.0,0764
1.0,True,1.0,0765
1.0,True,1.0,0766
1.0,True,1.0,0790
1.0,True,1.0,0791
0.9999165534973145,True,1.0,0798
1.0,True,1.0,0809
1.0,True,1.0,0814
1.0,True,1.0,0815
0.9999978542327881,True,1.0,0818
1.0,True,1.0,0823
1.0,True,1.0,0838
0.9999923706054688,True,1.0,0845
1.0,True,1.0,0846
1.0,True,1.0,0851
1.0,True,1.0,0867
1.0,True,1.0,0878
1.0,True,1.0,0897
1.0,True,1.0,0910
1.0,True,1.0,0928
1.0,True,1.0,0957
0.9999008178710938,True,1.0,0958
1.0,True,1.0,0967
1.0,True,1.0,0969
1.0,True,1.0,1000
1.0,True,1.0,1004
0.9999997615814209,True,1.0,1005
1.0,True,1.0,1009
1.0,True,1.0,1014
1.0,True,1.0,1015
1.0,True,1.0,1022
1.0,True,1.0,1035
1.0,True,1.0,1038
0.9999821186065674,True,1.0,1045
0.9999997615814209,True,1.0,1055
1.0,True,1.0,1056
1.0,True,1.0,1057
1.0,True,1.0,1064
0.9999971389770508,True,1.0,1069
1.0,True,1.0,1077
1.0,True,1.0,1078
0.999998927116394,True,1.0,1082
0.9999998807907104,True,1.0,1083
1.0,True,1.0,1088
1.0,True,1.0,1092
1.0,True,1.0,1095
0.9997743964195251,True,1.0,1097
1.0,True,1.0,1101
1.0,True,1.0,1106
1.0,True,1.0,1108
0.0007011753623373806,False,0.0,0001
0.0007887915126048028,False,0.0,0002
0.002213979372754693,False,0.0,0003
0.0008046063594520092,False,0.0,0004
0.0008254163549281657,False,0.0,0005
0.0011688777012750506,False,0.0,0006
0.0008176605333574116,False,0.0,0007
0.0012366445735096931,False,0.0,0008
0.001282989513128996,False,0.0,0010
0.0009850970236584544,False,0.0,0011
0.0015473747625946999,False,0.0,0012
0.0011206265771761537,False,0.0,0013
0.0010694258380681276,False,0.0,0015
0.0030857655219733715,False,0.0,0016
0.0020792947616428137,False,0.0,0017
0.0006977800512686372,False,0.0,0018
0.0011038129450753331,False,0.0,0019
0.0015577496960759163,False,0.0,0020
0.001122261630371213,False,0.0,0022
0.0005979687557555735,False,0.0,0026
0.0015376675873994827,False,0.0,0027
0.0010907301912084222,False,0.0,0028
0.0008291288395412266,False,0.0,0029
0.0009150499245151877,False,0.0,0030
0.0010205635335296392,False,0.0,0031
0.0012064421316608787,False,0.0,0033
